name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price
70000.0,75000.0,2019,0,0,3500.0,72752.5
119428.57142857143,120000.0,2017,0,0,9000.0,99399.0
27142.85714285714,30000.0,2008,0,0,7500.0,72752.5
21250.0,17500.0,2013,0,0,38000.0,58438.0
21400.0,7500.0,2004,0,0,87250.0,72752.5
31857.14285714286,57000.0,2018,0,0,6465.0,61118.0
89000.0,80000.0,2018,0,0,18803.0,72752.5
27666.666666666668,18000.0,2010,0,0,20000.0,72752.5
38333.333333333336,25000.0,2013,0,0,24000.0,75936.0
101100.0,83900.0,2014,0,1,22000.0,72752.5
133000.0,133000.0,2018,0,0,7000.0,99399.0
133000.0,133000.0,2018,0,0,6100.0,99399.0
68740.27272727272,55000.0,2017,0,0,14000.0,87543.0
33399.933333333334,50000.0,2017,0,0,23000.0,72752.5
24545.363636363636,20000.0,2012,0,0,85000.0,43703.0
32272.727272727272,25000.0,2010,0,0,40000.0,72752.5
122111.11111111111,125000.0,2017,0,0,18000.0,72752.5
55666.666666666664,55000.0,2019,0,0,10000.0,57557.0
59500.0,50000.0,2016,0,0,40000.0,80435.0
133000.0,133000.0,2019,0,0,1500.0,72752.5
40466.6,60000.0,2015,0,0,30000.0,54605.0
40466.6,40000.0,2015,0,0,3000.0,54605.0
40700.0,15000.0,2008,0,0,55000.0,85011.0
133000.0,133000.0,2013,0,1,12000.0,99399.0
32272.727272727272,20000.0,2007,0,0,87250.0,72752.5
133000.0,133000.0,2020,0,0,500.0,99399.0
131500.0,130000.0,2015,0,0,50000.0,99399.0
68740.27272727272,54786.0,2016,0,0,25000.0,88161.0
113750.0,72000.0,2013,0,0,36500.0,72752.5
35000.0,35000.0,2013,0,0,26000.0,86744.0
40181.818181818184,45000.0,2017,0,0,18000.0,61600.0
122111.11111111111,85000.0,2013,0,0,49000.0,72752.5
95000.0,100000.0,2013,0,0,18000.0,99399.0
131000.0,133000.0,2017,0,0,15000.0,72752.5
133000.0,133000.0,2018,0,0,8500.0,72752.5
133000.0,133000.0,2017,0,0,3775.0,72752.5
101100.0,100000.0,2015,0,0,14500.0,72752.5
31000.0,20000.0,2010,0,0,35000.0,78513.0
128500.0,133000.0,2017,0,0,14000.0,72752.5
