name,encoded_name
Honda CB Unicorn Dazzler,32333.33333333333
Yamaha YBR 125,35500.0
Suzuki Intruder 150 Fi,100000.0
Hero Passion PRO TR,40000.0
Hero Karizma [2003-2014],50000.0
Royal Enfield Classic Squadron Blue,133000.0
Hero Karizma ZMR,51666.66666666666
Royal Enfield Classic Chrome,133000.0
Hero Honda Splendor,15000.0
Mahindra Rodeo,20000.0
KTM 125 Duke,130000.0
Hero Xtreme 200R,86500.0
Royal Enfield Classic Signals,133000.0
Honda CB Unicorn,41500.0
Mahindra Flyte,22000.0
Bajaj Super,13000.0
Hero Honda CD100,15000.0
TVS Spectra,17000.0
Hero Xpulse 200T,105000.0
Honda Dream Neo,45666.66666666666
Bajaj Avenger Street 160,82500.0
Yamaha Fazer 25,122666.66666666669
TVS Excel,5000.0
TVS Streak,15000.0
Yamaha RX135,65000.0
Honda CBR150 R,93500.0
Bajaj Pulsar 180F,100000.0
Bajaj Pulsar 220 DTS-i,55000.0
Hero Honda Achiever,15000.0
Hero Honda Karizma,40000.0
Suzuki Swish [2012-2015],30000.0
TVS Star City,20333.33333333333
TVS Scooty Pep DLX,14500.0
Hero Honda Street Smart,10000.0
Hero Honda Super Splendor [2005],20000.0
Suzuki Gixxer SF Fi,100000.0
Hero CBZ,37500.0
TVS Jupiter,70000.0
Honda Livo,43800.0
Bajaj Pulsar RS 200,92500.0
Hero Honda CBZ,10000.0
Hero Splendor NXG,18000.0
Yamaha RXG,25000.0
Yamaha Alpha,25000.0
Mahindra Gusto,27500.0
Bajaj Discover 110,15000.0
TVS Victor GLX,22500.0
Yamaha SZ-S,50000.0
Bajaj Discover 125 M,37500.0
Honda Grazia,60000.0
Royal Enfield Electra Twinspark,110000.0
TVS Apache [2006],15000.0
Suzuki SlingShot,24000.0
Bajaj V12,45000.0
Yamaha Gladiator,15000.0
TVS XL 100,30000.0
Benelli TNT 25,133000.0
Royal Enfield Thunderbird 500X,133000.0
Royal Enfield Continental GT [2013 - 2018],110000.0
Hero CD Dawn,22500.0
TVS Max DLX,26000.0
Hero Pleasure [2005-2015],30000.0
Kawasaki Ninja 300,133000.0
Yo Style,20000.0
Royal Enfield Thunder 500,116000.0
UM Renegade Mojave,133000.0
KTM RC200,126500.0
KTM RC390,133000.0
Hyosung GT250R,133000.0
Royal Enfield Thunder 350,116250.0
Bajaj Pulsar RS200,105000.0
Bajaj Avenger 220,79000.0
Bajaj Avenger 150,75000.0
Yamaha FZ 16,75000.0
Honda CBR 150,62500.0
Hero Extreme,60000.0
Bajaj Avenger 220 dtsi,52500.0
Bajaj Avenger 150 street,60000.0
Yamaha FZ  v 2.0,60000.0
Bajaj Pulsar  NS 200,60000.0
Bajaj Pulsar 220 F,51500.0
TVS Apache RTR 180,47500.0
Hero Passion X pro,50000.0
Bajaj Pulsar NS 200,48333.333333333336
Yamaha Fazer,50000.0
Hero Splender iSmart,42500.0
Activa 3g,31000.0
Hero Passion Pro,42500.0
Yamaha FZ S,40000.0
Activa 4g,40000.0
Honda Karizma,33000.0
TVS Jupyter,35000.0
Hero Honda Passion Pro,30000.0
Hero Splender Plus,30000.0
Honda CB Shine,21000.0
Honda CB twister,20500.0
Hero Glamour,25000.0
Hero  Ignitor Disc,20000.0
Hero  CBZ Xtreme,20000.0
Bajaj  ct 100,18000.0
