Model,MSE,RMSE,MAE,R2 Score,R2 Score %
KNN,99061992.94481172,9952.989146221938,7180.219315895372,0.9239839982494795,92.39839982494796
Decision Tree,106334186.13277817,10311.846882725624,7345.254164930186,0.9184036234389853,91.84036234389853
Random Forest,90544179.44589226,9515.470532027948,6930.105223616224,0.9305202096318327,93.05202096318327
Gradient Boosting,106510109.7597074,10320.373528109698,7132.541497122966,0.9182686270560632,91.82686270560632
